,best_fitness_19521290,num of evaluation calls
0,314.87,1025
1,313.02,2049
2,310.62,3073
3,307.99,4097
4,304.96,5121
5,302.46,6145
6,298.92,7169
7,295.4,8193
8,291.7,9217
9,286.8,10241
10,282.41,11265
11,277.79,12289
12,272.68,13313
13,266.53,14337
14,261.18,15361
15,253.14,16385
16,245.87,17409
17,237.07,18433
18,228.41,19457
19,219.61,20481
20,212.02,21505
21,201.97,22529
22,189.82,23553
23,177.77,24577
24,165.78,25601
25,152.6,26625
26,139.83,27649
27,123.9,28673
28,109.04,29697
29,94.12,30721
30,80.36,31745
31,66.55,32769
32,49.13,33793
33,34.27,34817
34,20.1,35841
35,12.56,36865
36,6.62,37889
37,3.34,38913
38,1.67,39937
39,1.25,40961
40,1.67,41985
41,1.34,43009
42,1.08,44033
43,1.02,45057
44,1.17,46081
45,0.98,47105
46,1.09,48129
47,0.93,49153
48,0.71,50177
49,0.96,51201
50,0.84,52225
51,0.55,53249
52,0.89,54273
53,0.79,55297
54,0.52,56321
55,0.48,57345
56,0.47,58369
57,0.54,59393
58,0.26,60417
59,0.39,61441
60,0.21,62465
61,0.25,63489
62,0.17,64513
63,0.16,65537
64,0.17,66561
65,0.16,67585
66,0.15,68609
67,0.16,69633
68,0.14,70657
69,0.14,71681
70,0.13,72705
71,0.14,73729
72,0.13,74753
73,0.13,75777
74,0.13,76801
75,0.13,77825
76,0.13,78849
77,0.13,79873
78,0.13,80897
79,0.13,81921
80,0.13,82945
81,0.13,83969
82,0.13,84993
83,0.13,86017
84,0.13,87041
85,0.13,88065
86,0.13,89089
87,0.13,90113
88,0.13,91137
89,0.13,92161
90,0.13,93185
91,0.13,94209
92,0.13,95233
93,0.13,96257
94,0.13,97281
95,0.13,98305
96,0.13,99329
97,0.13,100353
98,0.13,101377
99,0.13,102401
100,0.13,103425
101,0.13,104449
102,0.13,105473
103,0.13,106497
104,0.13,107521
105,0.13,108545
106,0.13,109569
107,0.13,110593
108,0.13,111617
109,0.13,112641
110,0.13,113665
111,0.13,114689
112,0.13,115713
113,0.13,116737
114,0.13,117761
115,0.13,118785
116,0.13,119809
117,0.13,120833
118,0.13,121857
119,0.13,122881
120,0.13,123905
121,0.13,124929
122,0.13,125953
123,0.13,126977
124,0.13,128001
