,best_fitness_19521282,num of evaluation calls
0,58.90079,256
1,58.90079,512
2,58.90079,768
3,58.90079,1024
4,58.90079,1280
5,45.01503,1536
6,45.01503,1792
7,33.43766,2048
8,25.27428,2304
9,25.27428,2560
10,25.27428,2816
11,25.27428,3072
12,20.36431,3328
13,20.36431,3584
14,15.90367,3840
15,15.90367,4096
16,15.90367,4352
17,15.90367,4608
18,7.95479,4864
19,7.95479,5120
20,7.12418,5376
21,7.12418,5632
22,7.12418,5888
23,7.12418,6144
24,7.12418,6400
25,4.66505,6656
26,4.66505,6912
27,4.61534,7168
28,3.55055,7424
29,3.55055,7680
30,2.99556,7936
31,2.99556,8192
32,2.99556,8448
33,2.99556,8704
34,2.63226,8960
35,2.47359,9216
36,2.39471,9472
37,1.83677,9728
38,1.83677,9984
39,1.83677,10240
40,1.48672,10496
41,1.48672,10752
42,1.48672,11008
43,1.32645,11264
44,1.32645,11520
45,1.31481,11776
46,1.31481,12032
47,1.31481,12288
48,1.31481,12544
49,1.31481,12800
50,1.07716,13056
51,1.07716,13312
52,1.07716,13568
53,1.03269,13824
54,1.03269,14080
55,1.03269,14336
56,1.03269,14592
57,1.03269,14848
58,1.03269,15104
59,1.03269,15360
60,1.03269,15616
61,0.8272,15872
62,0.78714,16128
63,0.78714,16384
64,0.78714,16640
65,0.78714,16896
66,0.78714,17152
67,0.78714,17408
68,0.78714,17664
69,0.78714,17920
70,0.77783,18176
71,0.77783,18432
72,0.77783,18688
73,0.77783,18944
74,0.77783,19200
75,0.77783,19456
76,0.77783,19712
77,0.77783,19968
78,0.77783,20224
79,0.77783,20480
80,0.77783,20736
81,0.77783,20992
82,0.59938,21248
83,0.59938,21504
84,0.59938,21760
85,0.59664,22016
86,0.59664,22272
87,0.59664,22528
88,0.59664,22784
89,0.59664,23040
90,0.59664,23296
91,0.53729,23552
92,0.53729,23808
93,0.53729,24064
94,0.53729,24320
95,0.53729,24576
96,0.53729,24832
97,0.53729,25088
98,0.53729,25344
99,0.53729,25600
100,0.53729,25856
101,0.50868,26112
102,0.50868,26368
103,0.50868,26624
104,0.50868,26880
105,0.50868,27136
106,0.50868,27392
107,0.50868,27648
108,0.50868,27904
109,0.50868,28160
110,0.50868,28416
111,0.50868,28672
112,0.50868,28928
113,0.50868,29184
114,0.50868,29440
115,0.46523,29696
116,0.46523,29952
117,0.46523,30208
118,0.46523,30464
119,0.46523,30720
120,0.46523,30976
121,0.46523,31232
122,0.46523,31488
123,0.46523,31744
124,0.46523,32000
125,0.46523,32256
126,0.32436,32512
127,0.32436,32768
128,0.32436,33024
129,0.32436,33280
130,0.32436,33536
131,0.32436,33792
132,0.32436,34048
133,0.32436,34304
134,0.32436,34560
135,0.32436,34816
136,0.32436,35072
137,0.32436,35328
138,0.32436,35584
139,0.25575,35840
140,0.25575,36096
141,0.25575,36352
142,0.25575,36608
143,0.25575,36864
144,0.25575,37120
145,0.25575,37376
146,0.25575,37632
147,0.25575,37888
148,0.25575,38144
149,0.25575,38400
150,0.25575,38656
151,0.25575,38912
152,0.25575,39168
153,0.25575,39424
154,0.25575,39680
155,0.25575,39936
156,0.25575,40192
157,0.25575,40448
158,0.25575,40704
159,0.25575,40960
160,0.25575,41216
161,0.25575,41472
162,0.25575,41728
163,0.25575,41984
164,0.25575,42240
165,0.25575,42496
166,0.25575,42752
167,0.25575,43008
168,0.25575,43264
169,0.25575,43520
170,0.25575,43776
171,0.25575,44032
172,0.25575,44288
173,0.25575,44544
174,0.25575,44800
175,0.25575,45056
176,0.25575,45312
177,0.25575,45568
178,0.25575,45824
179,0.25575,46080
180,0.25575,46336
181,0.25575,46592
182,0.25575,46848
183,0.25575,47104
184,0.25575,47360
185,0.25575,47616
186,0.25575,47872
187,0.25575,48128
188,0.25575,48384
189,0.25575,48640
190,0.25575,48896
191,0.25575,49152
192,0.25575,49408
193,0.25575,49664
194,0.25575,49920
195,0.25575,50176
196,0.25575,50432
197,0.25575,50688
198,0.25575,50944
199,0.25575,51200
200,0.25575,51456
201,0.25575,51712
202,0.25575,51968
203,0.25575,52224
204,0.25575,52480
205,0.25575,52736
206,0.25575,52992
207,0.25575,53248
208,0.25575,53504
209,0.25575,53760
210,0.25575,54016
211,0.25575,54272
212,0.25575,54528
213,0.25575,54784
214,0.25575,55040
215,0.25575,55296
216,0.25575,55552
217,0.25575,55808
218,0.25575,56064
219,0.25575,56320
220,0.25575,56576
221,0.25575,56832
222,0.25575,57088
223,0.25575,57344
224,0.19665,57600
225,0.19665,57856
226,0.19665,58112
227,0.19665,58368
228,0.19665,58624
229,0.19665,58880
230,0.19665,59136
231,0.19665,59392
232,0.19665,59648
233,0.19665,59904
234,0.19665,60160
235,0.19665,60416
236,0.18621,60672
237,0.18621,60928
238,0.18621,61184
239,0.18621,61440
240,0.18621,61696
241,0.18621,61952
242,0.18621,62208
243,0.18621,62464
244,0.18621,62720
245,0.18621,62976
246,0.18621,63232
247,0.18621,63488
248,0.18621,63744
249,0.18621,64000
250,0.18621,64256
251,0.18621,64512
252,0.18621,64768
253,0.18621,65024
254,0.18621,65280
255,0.18621,65536
256,0.18621,65792
257,0.18621,66048
258,0.18621,66304
259,0.18621,66560
260,0.18621,66816
261,0.18621,67072
262,0.18621,67328
263,0.18621,67584
264,0.18621,67840
265,0.18621,68096
266,0.18621,68352
267,0.18621,68608
268,0.18621,68864
269,0.17836,69120
270,0.17836,69376
271,0.17836,69632
272,0.17836,69888
273,0.17836,70144
274,0.17836,70400
275,0.17725,70656
276,0.17725,70912
277,0.17725,71168
278,0.17725,71424
279,0.15408,71680
280,0.15408,71936
281,0.15408,72192
282,0.15408,72448
283,0.15408,72704
284,0.15408,72960
285,0.15408,73216
286,0.15408,73472
287,0.15408,73728
288,0.15237,73984
289,0.15237,74240
290,0.15237,74496
291,0.15237,74752
292,0.15237,75008
293,0.15237,75264
294,0.15237,75520
295,0.15237,75776
296,0.15237,76032
297,0.1031,76288
298,0.1031,76544
299,0.1031,76800
300,0.1031,77056
301,0.1031,77312
302,0.1031,77568
303,0.1031,77824
304,0.1031,78080
305,0.1031,78336
306,0.1031,78592
307,0.1031,78848
308,0.1031,79104
309,0.1031,79360
310,0.1031,79616
311,0.1031,79872
312,0.1031,80128
313,0.1031,80384
314,0.1031,80640
315,0.1031,80896
316,0.1031,81152
317,0.1031,81408
318,0.1031,81664
319,0.1031,81920
320,0.1031,82176
321,0.1031,82432
322,0.1031,82688
323,0.1031,82944
324,0.1031,83200
325,0.1031,83456
326,0.1031,83712
327,0.1031,83968
328,0.1031,84224
329,0.1031,84480
330,0.1031,84736
331,0.1031,84992
332,0.09147,85248
333,0.09147,85504
334,0.09147,85760
335,0.09147,86016
336,0.09147,86272
337,0.09147,86528
338,0.09147,86784
339,0.09147,87040
340,0.09147,87296
341,0.09147,87552
342,0.09147,87808
343,0.09147,88064
344,0.09147,88320
345,0.09147,88576
346,0.09147,88832
347,0.09147,89088
348,0.09147,89344
349,0.09147,89600
350,0.09147,89856
351,0.09147,90112
352,0.09147,90368
353,0.09147,90624
354,0.09147,90880
355,0.09147,91136
356,0.09147,91392
357,0.09147,91648
358,0.09147,91904
359,0.09147,92160
360,0.09147,92416
361,0.09147,92672
362,0.09147,92928
363,0.09147,93184
364,0.09147,93440
365,0.09147,93696
366,0.09147,93952
367,0.09147,94208
368,0.09147,94464
369,0.09147,94720
370,0.09147,94976
371,0.09147,95232
372,0.09147,95488
373,0.09147,95744
374,0.09147,96000
375,0.09147,96256
376,0.09147,96512
377,0.09147,96768
378,0.09147,97024
379,0.09147,97280
380,0.09147,97536
381,0.09147,97792
382,0.09147,98048
383,0.09147,98304
384,0.09147,98560
385,0.09147,98816
386,0.09147,99072
387,0.09147,99328
388,0.08479,99584
389,0.08479,99840
390,0.08479,100096
391,0.08479,100352
392,0.08479,100608
393,0.08479,100864
394,0.08479,101120
395,0.08479,101376
396,0.08479,101632
397,0.08479,101888
398,0.08479,102144
399,0.08479,102400
400,0.08479,102656
401,0.08479,102912
402,0.07046,103168
403,0.07046,103424
404,0.07046,103680
405,0.07046,103936
406,0.07046,104192
407,0.07046,104448
408,0.07046,104704
409,0.07046,104960
410,0.07046,105216
411,0.07046,105472
412,0.07046,105728
413,0.07046,105984
414,0.07046,106240
415,0.07046,106496
416,0.07046,106752
417,0.07046,107008
418,0.07046,107264
419,0.07046,107520
420,0.07046,107776
421,0.07046,108032
422,0.07046,108288
423,0.05915,108544
424,0.05915,108800
425,0.05915,109056
426,0.05915,109312
427,0.05915,109568
428,0.05915,109824
429,0.05915,110080
430,0.05915,110336
431,0.05915,110592
432,0.05915,110848
433,0.05915,111104
434,0.05915,111360
435,0.05915,111616
436,0.05915,111872
437,0.05915,112128
438,0.05915,112384
439,0.05915,112640
440,0.05915,112896
441,0.05915,113152
442,0.05915,113408
443,0.05915,113664
444,0.05915,113920
445,0.05915,114176
446,0.05915,114432
447,0.05019,114688
448,0.0488,114944
449,0.0488,115200
450,0.0488,115456
451,0.04808,115712
452,0.04808,115968
453,0.04808,116224
454,0.04808,116480
455,0.04808,116736
456,0.04555,116992
457,0.04555,117248
458,0.04555,117504
459,0.04216,117760
460,0.04216,118016
461,0.04216,118272
462,0.04216,118528
463,0.04216,118784
464,0.04216,119040
465,0.04216,119296
466,0.04216,119552
467,0.04216,119808
468,0.04216,120064
469,0.04216,120320
470,0.04216,120576
471,0.04216,120832
472,0.04216,121088
473,0.04216,121344
474,0.04216,121600
475,0.04216,121856
476,0.04216,122112
477,0.04216,122368
478,0.04216,122624
479,0.03607,122880
480,0.03607,123136
481,0.03607,123392
482,0.03607,123648
483,0.03607,123904
484,0.03607,124160
485,0.03607,124416
486,0.03607,124672
487,0.03607,124928
488,0.03607,125184
489,0.03607,125440
490,0.03607,125696
491,0.03607,125952
492,0.03607,126208
493,0.03583,126464
494,0.03583,126720
495,0.03002,126976
496,0.03002,127232
497,0.03002,127488
498,0.03002,127744
499,0.03002,128000
500,0.03002,128256
501,0.03002,128512
502,0.03002,128768
503,0.03002,129024
504,0.02483,129280
505,0.02483,129536
506,0.02483,129792
507,0.02483,130048
508,0.02483,130304
509,0.02483,130560
510,0.02483,130816
511,0.02483,131072
512,0.02483,131328
513,0.0207,131584
514,0.0207,131840
515,0.0207,132096
516,0.0207,132352
517,0.0207,132608
518,0.0207,132864
519,0.0207,133120
520,0.0207,133376
521,0.0207,133632
522,0.0207,133888
523,0.0207,134144
524,0.0207,134400
525,0.0207,134656
526,0.0207,134912
527,0.0207,135168
528,0.01966,135424
529,0.01966,135680
530,0.01966,135936
531,0.01966,136192
532,0.01966,136448
533,0.01966,136704
534,0.01966,136960
535,0.01958,137216
536,0.01958,137472
537,0.01958,137728
538,0.01958,137984
539,0.01958,138240
540,0.01958,138496
541,0.01958,138752
542,0.01217,139008
543,0.01217,139264
544,0.01217,139520
545,0.01217,139776
546,0.01217,140032
547,0.01217,140288
548,0.01217,140544
549,0.01217,140800
550,0.01217,141056
551,0.01217,141312
552,0.01217,141568
553,0.01217,141824
554,0.01217,142080
555,0.01217,142336
556,0.01217,142592
557,0.01217,142848
558,0.01217,143104
559,0.00944,143360
560,0.00944,143616
561,0.00944,143872
562,0.00944,144128
563,0.00944,144384
564,0.00944,144640
565,0.00944,144896
566,0.00944,145152
567,0.00833,145408
568,0.00833,145664
569,0.00833,145920
570,0.00833,146176
571,0.00833,146432
572,0.0067,146688
573,0.00291,146944
574,0.00104,147200
575,0.00104,147456
576,0.00104,147712
577,0.00104,147968
578,0.00104,148224
579,0.00104,148480
580,0.00104,148736
581,0.00104,148992
582,0.00104,149248
583,0.00104,149504
584,0.00104,149760
585,0.00104,150016
586,0.00104,150272
587,0.00104,150528
588,0.00104,150784
589,0.00104,151040
590,0.00104,151296
591,0.00104,151552
592,0.00104,151808
593,0.00104,152064
594,0.00104,152320
595,0.00104,152576
596,0.00104,152832
597,0.00104,153088
598,0.00104,153344
599,0.00104,153600
600,0.00104,153856
601,0.00104,154112
602,0.00104,154368
603,0.00104,154624
604,0.00104,154880
605,0.00104,155136
606,0.00104,155392
607,0.00104,155648
608,0.00104,155904
609,0.00078,156160
610,0.00078,156416
611,0.00078,156672
612,0.00071,156928
613,0.00071,157184
614,0.00071,157440
615,0.00071,157696
616,0.00068,157952
617,0.00068,158208
618,0.00068,158464
619,0.00068,158720
620,0.00067,158976
621,0.00047,159232
622,0.00047,159488
