,best_fitness_19521290,num of evaluation calls
0,105.3,1025
1,86.02,2049
2,65.98,3073
3,59.17,4097
4,64.53,5121
5,37.86,6145
6,36.72,7169
7,43.0,8193
8,43.34,9217
9,42.26,10241
10,29.31,11265
11,33.9,12289
12,21.91,13313
13,19.86,14337
14,23.23,15361
15,12.96,16385
16,16.25,17409
17,12.64,18433
18,13.28,19457
19,11.83,20481
20,11.81,21505
21,11.93,22529
22,11.45,23553
23,11.4,24577
24,11.48,25601
25,11.09,26625
26,11.21,27649
27,11.02,28673
28,11.02,29697
29,11.0,30721
30,11.02,31745
31,10.97,32769
32,10.97,33793
33,10.97,34817
34,10.97,35841
35,10.96,36865
36,10.96,37889
37,10.95,38913
38,10.96,39937
39,10.95,40961
40,10.95,41985
41,10.95,43009
42,10.95,44033
43,10.95,45057
44,10.95,46081
45,10.95,47105
46,10.95,48129
47,10.95,49153
48,10.95,50177
49,10.95,51201
50,10.95,52225
51,10.94,53249
52,10.94,54273
53,10.94,55297
54,10.94,56321
55,10.94,57345
56,10.94,58369
57,10.94,59393
58,10.94,60417
59,10.94,61441
60,10.94,62465
61,10.94,63489
62,10.94,64513
63,10.94,65537
64,10.94,66561
65,10.94,67585
66,10.94,68609
67,10.94,69633
68,10.94,70657
69,10.94,71681
70,10.94,72705
71,10.94,73729
72,10.94,74753
73,10.94,75777
74,10.94,76801
75,10.94,77825
76,10.94,78849
77,10.94,79873
78,10.94,80897
79,10.94,81921
80,10.94,82945
81,10.94,83969
82,10.94,84993
83,10.94,86017
84,10.94,87041
85,10.94,88065
86,10.94,89089
87,10.94,90113
