,best_fitness_19521282,num of evaluation calls
0,123.01,257
1,108.05,513
2,90.55,769
3,81.0,1025
4,74.32,1281
5,80.57,1537
6,58.65,1793
7,72.77,2049
8,67.24,2305
9,68.5,2561
10,37.72,2817
11,52.53,3073
12,32.03,3329
13,35.08,3585
14,30.15,3841
15,25.09,4097
16,31.35,4353
17,25.67,4609
18,23.9,4865
19,24.22,5121
20,23.24,5377
21,23.37,5633
22,23.09,5889
23,23.01,6145
24,23.09,6401
25,22.95,6657
26,23.02,6913
27,22.92,7169
28,22.92,7425
29,22.9,7681
30,22.9,7937
31,22.89,8193
32,22.89,8449
33,22.89,8705
34,22.89,8961
35,22.89,9217
36,22.89,9473
37,22.89,9729
38,22.89,9985
39,22.88,10241
40,22.89,10497
41,22.88,10753
42,22.88,11009
43,22.88,11265
44,22.88,11521
45,22.88,11777
46,22.88,12033
47,22.88,12289
48,22.88,12545
49,22.88,12801
50,22.88,13057
51,22.88,13313
52,22.88,13569
53,22.88,13825
54,22.88,14081
55,22.88,14337
56,22.88,14593
57,22.88,14849
58,22.88,15105
59,22.88,15361
60,22.88,15617
61,22.88,15873
62,22.88,16129
63,22.88,16385
64,22.88,16641
65,22.88,16897
66,22.88,17153
67,22.88,17409
68,22.88,17665
69,22.88,17921
70,22.88,18177
71,22.88,18433
72,22.88,18689
73,22.88,18945
74,22.88,19201
75,22.88,19457
76,22.88,19713
77,22.88,19969
78,22.88,20225
79,22.88,20481
80,22.88,20737
81,22.88,20993
82,22.88,21249
83,22.88,21505
84,22.88,21761
85,22.88,22017
