MRPS,Evaluations
136,1306
544,5713.3
272,2602
272,2891
272,3006.6
272,2602
272,2717.6
544,5944.1
272,2833.2
544,5540.2
2176,44718
1088,24214
2176,52324.5
1088,21331.5
2176,47945
4352,100477.2
2176,46331.5
2176,51172
2176,49558.5
2176,48406
