MRPS,Evaluations
136,1059.5
68,512
136,1074
136,1161
68,504.7
68,541.2
68,585
34,267.4
68,570.4
68,512
272,3151.1
136,1610.5
272,3122.2
272,3295.6
272,3497.9
136,1842.5
272,3266.7
272,3382.3
272,3382.3
136,1741
544,9983.1
544,10560.1
544,10502.4
544,10444.7
1088,20870.3
544,9810
544,10617.8
544,10271.6
272,4885.1
1088,20870.3
2176,66846
2176,63849.5
2176,63619
2176,65463
2176,63849.5
2176,65002
1088,31823.8
2176,64310.5
2176,64080
4352,121678.6
