,best_fitness_19521288,num of evaluation calls
0,105.94,65
1,105.89,129
2,105.48,193
3,104.21,257
4,103.74,321
5,102.48,385
6,100.98,449
7,100.73,513
8,99.39,577
9,97.66,641
10,97.07,705
11,94.69,769
12,93.88,833
13,92.03,897
14,88.61,961
15,85.66,1025
16,83.1,1089
17,79.6,1153
18,75.19,1217
19,71.8,1281
20,67.6,1345
21,63.76,1409
22,60.24,1473
23,56.29,1537
24,52.04,1601
25,45.34,1665
26,41.07,1729
27,35.14,1793
28,30.11,1857
29,25.37,1921
30,17.11,1985
31,13.57,2049
32,9.04,2113
33,5.87,2177
34,2.43,2241
35,1.91,2305
36,0.45,2369
37,0.36,2433
38,0.38,2497
39,0.16,2561
40,0.24,2625
41,0.12,2689
42,0.08,2753
43,0.02,2817
44,0.22,2881
45,0.12,2945
46,0.02,3009
47,0.09,3073
48,0.01,3137
49,0.03,3201
50,0.05,3265
51,0.02,3329
52,0.01,3393
53,0.01,3457
54,0.01,3521
55,0.01,3585
56,0.01,3649
57,0.01,3713
58,0.01,3777
59,0.01,3841
60,0.01,3905
61,0.01,3969
62,0.01,4033
63,0.01,4097
64,0.01,4161
65,0.01,4225
66,0.01,4289
67,0.01,4353
68,0.01,4417
69,0.01,4481
70,0.01,4545
71,0.01,4609
72,0.01,4673
73,0.01,4737
74,0.01,4801
75,0.01,4865
76,0.01,4929
77,0.01,4993
78,0.01,5057
79,0.01,5121
80,0.01,5185
81,0.01,5249
82,0.01,5313
83,0.01,5377
84,0.01,5441
85,0.01,5505
86,0.01,5569
87,0.01,5633
88,0.01,5697
89,0.01,5761
