,best_fitness_19521288,num of evaluation calls
0,317.73,257
1,316.21,513
2,314.42,769
3,311.87,1025
4,309.8,1281
5,307.58,1537
6,305.09,1793
7,302.03,2049
8,298.5,2305
9,293.9,2561
10,290.15,2817
11,285.32,3073
12,281.07,3329
13,275.89,3585
14,270.48,3841
15,265.24,4097
16,259.06,4353
17,251.83,4609
18,246.02,4865
19,238.59,5121
20,229.38,5377
21,218.53,5633
22,206.93,5889
23,195.49,6145
24,179.6,6401
25,168.41,6657
26,156.1,6913
27,142.35,7169
28,129.98,7425
29,116.27,7681
30,104.78,7937
31,85.77,8193
32,71.82,8449
33,58.76,8705
34,46.07,8961
35,32.8,9217
36,19.13,9473
37,10.69,9729
38,5.74,9985
39,2.24,10241
40,2.02,10497
41,2.32,10753
42,1.61,11009
43,1.55,11265
44,1.57,11521
45,1.37,11777
46,1.35,12033
47,1.26,12289
48,1.23,12545
49,1.69,12801
50,1.21,13057
51,1.11,13313
52,1.44,13569
53,1.09,13825
54,1.08,14081
55,0.99,14337
56,1.2,14593
57,1.13,14849
58,1.12,15105
59,1.08,15361
60,1.13,15617
61,0.85,15873
62,0.73,16129
63,0.74,16385
64,0.64,16641
65,0.62,16897
66,0.61,17153
67,0.49,17409
68,0.68,17665
69,0.44,17921
70,0.55,18177
71,0.39,18433
72,0.42,18689
73,0.31,18945
74,0.34,19201
75,0.31,19457
76,0.32,19713
77,0.3,19969
78,0.3,20225
79,0.29,20481
80,0.3,20737
81,0.29,20993
82,0.29,21249
83,0.29,21505
84,0.29,21761
85,0.29,22017
86,0.29,22273
87,0.29,22529
88,0.29,22785
89,0.29,23041
90,0.29,23297
91,0.29,23553
92,0.29,23809
93,0.29,24065
94,0.29,24321
95,0.29,24577
96,0.29,24833
97,0.29,25089
98,0.29,25345
99,0.29,25601
100,0.29,25857
101,0.29,26113
102,0.29,26369
103,0.29,26625
104,0.29,26881
105,0.29,27137
106,0.29,27393
107,0.29,27649
108,0.29,27905
109,0.29,28161
110,0.29,28417
111,0.29,28673
112,0.29,28929
113,0.29,29185
114,0.29,29441
115,0.29,29697
116,0.29,29953
117,0.29,30209
118,0.29,30465
119,0.29,30721
120,0.29,30977
121,0.29,31233
122,0.29,31489
123,0.29,31745
124,0.29,32001
125,0.29,32257
126,0.29,32513
127,0.29,32769
128,0.29,33025
129,0.29,33281
130,0.29,33537
131,0.29,33793
132,0.29,34049
133,0.29,34305
134,0.29,34561
135,0.29,34817
136,0.29,35073
137,0.29,35329
138,0.29,35585
139,0.29,35841
140,0.29,36097
141,0.29,36353
