,best_fitness_19521288,num of evaluation calls
0,317.77,33
1,316.52,65
2,314.79,97
3,312.71,129
4,310.5,161
5,308.14,193
6,306.25,225
7,303.7,257
8,301.31,289
9,298.92,321
10,297.57,353
11,294.76,385
12,291.39,417
13,287.24,449
14,282.36,481
15,277.66,513
16,274.56,545
17,267.7,577
18,262.01,609
19,256.33,641
20,250.28,673
21,243.22,705
22,235.25,737
23,225.75,769
24,213.44,801
25,197.18,833
26,191.89,865
27,182.19,897
28,170.68,929
29,154.7,961
30,142.15,993
31,127.14,1025
32,111.28,1057
33,98.98,1089
34,77.8,1121
35,68.68,1153
36,59.09,1185
37,50.59,1217
38,42.42,1249
39,33.51,1281
40,23.29,1313
41,13.1,1345
42,10.27,1377
43,6.39,1409
44,9.81,1441
45,4.64,1473
46,2.23,1505
47,2.67,1537
48,2.05,1569
49,2.07,1601
50,1.41,1633
51,1.45,1665
52,1.17,1697
53,1.21,1729
54,1.1,1761
55,1.14,1793
56,0.97,1825
57,0.92,1857
58,1.21,1889
59,1.1,1921
60,1.1,1953
61,0.94,1985
62,0.62,2017
63,0.74,2049
64,0.37,2081
65,0.46,2113
66,0.38,2145
67,0.28,2177
68,0.29,2209
69,0.26,2241
70,0.25,2273
71,0.25,2305
72,0.25,2337
73,0.24,2369
74,0.24,2401
75,0.23,2433
76,0.23,2465
77,0.23,2497
78,0.23,2529
79,0.23,2561
80,0.23,2593
81,0.23,2625
82,0.23,2657
83,0.23,2689
84,0.23,2721
85,0.23,2753
86,0.23,2785
87,0.23,2817
88,0.23,2849
89,0.23,2881
90,0.22,2913
91,0.22,2945
92,0.22,2977
93,0.22,3009
94,0.22,3041
95,0.22,3073
96,0.22,3105
97,0.22,3137
98,0.22,3169
99,0.22,3201
100,0.22,3233
101,0.22,3265
102,0.22,3297
103,0.22,3329
104,0.22,3361
105,0.22,3393
106,0.22,3425
107,0.22,3457
108,0.22,3489
109,0.22,3521
110,0.22,3553
111,0.22,3585
112,0.22,3617
113,0.22,3649
114,0.22,3681
115,0.22,3713
116,0.22,3745
117,0.22,3777
118,0.22,3809
119,0.22,3841
120,0.22,3873
121,0.22,3905
122,0.22,3937
123,0.22,3969
124,0.22,4001
125,0.22,4033
126,0.22,4065
127,0.22,4097
128,0.22,4129
129,0.22,4161
130,0.22,4193
131,0.22,4225
132,0.22,4257
133,0.22,4289
134,0.22,4321
135,0.22,4353
136,0.22,4385
137,0.22,4417
138,0.22,4449
139,0.22,4481
140,0.22,4513
141,0.22,4545
142,0.22,4577
