,best_fitness_19521282,num of evaluation calls
0,737688.37,33
1,519147.39,65
2,278482.08,97
3,132596.0,129
4,75263.46,161
5,71535.93,193
6,5174.57,225
7,7580.22,257
8,5237.63,289
9,1226.39,321
10,798.13,353
11,622.25,385
12,502.0,417
13,1559.54,449
14,194.87,481
15,176.2,513
16,179.11,545
17,120.28,577
18,174.88,609
19,51.83,641
20,74.0,673
21,31.6,705
22,15.77,737
23,64.87,769
24,20.1,801
25,14.73,833
26,15.96,865
27,13.21,897
28,8.36,929
29,7.39,961
30,9.09,993
31,8.69,1025
32,6.66,1057
33,4.4,1089
34,3.55,1121
35,2.41,1153
36,2.29,1185
37,4.93,1217
38,2.1,1249
39,2.38,1281
40,2.06,1313
41,2.14,1345
42,1.84,1377
43,1.68,1409
44,1.79,1441
45,1.57,1473
46,1.48,1505
47,1.31,1537
48,1.37,1569
49,1.25,1601
50,1.25,1633
51,1.23,1665
52,1.26,1697
53,1.22,1729
54,1.22,1761
55,1.19,1793
56,1.23,1825
57,1.18,1857
58,1.16,1889
59,1.18,1921
60,1.16,1953
61,1.15,1985
62,1.14,2017
63,1.14,2049
64,1.13,2081
65,1.13,2113
66,1.12,2145
67,1.12,2177
68,1.11,2209
69,1.1,2241
70,1.1,2273
71,1.1,2305
72,1.09,2337
73,1.09,2369
74,1.09,2401
75,1.08,2433
76,1.08,2465
77,1.07,2497
78,1.07,2529
79,1.07,2561
80,1.07,2593
81,1.06,2625
82,1.06,2657
83,1.06,2689
84,1.05,2721
85,1.05,2753
86,1.05,2785
87,1.05,2817
88,1.04,2849
89,1.04,2881
90,1.04,2913
91,1.04,2945
92,1.04,2977
93,1.03,3009
94,1.03,3041
95,1.02,3073
96,1.01,3105
97,1.01,3137
98,1.0,3169
99,0.99,3201
100,0.99,3233
101,0.99,3265
102,0.98,3297
103,0.97,3329
104,0.98,3361
105,0.97,3393
106,0.97,3425
107,0.96,3457
108,0.95,3489
109,0.95,3521
110,0.95,3553
111,0.94,3585
112,0.94,3617
113,0.94,3649
114,0.94,3681
115,0.94,3713
116,0.93,3745
117,0.93,3777
118,0.92,3809
119,0.92,3841
120,0.92,3873
121,0.92,3905
122,0.92,3937
123,0.91,3969
124,0.91,4001
125,0.9,4033
126,0.9,4065
127,0.89,4097
128,0.88,4129
129,0.89,4161
130,0.88,4193
131,0.88,4225
132,0.88,4257
133,0.87,4289
134,0.87,4321
135,0.86,4353
136,0.86,4385
137,0.86,4417
138,0.85,4449
139,0.85,4481
140,0.85,4513
141,0.84,4545
142,0.84,4577
143,0.84,4609
144,0.83,4641
145,0.83,4673
146,0.83,4705
147,0.83,4737
148,0.83,4769
149,0.82,4801
150,0.82,4833
151,0.82,4865
152,0.82,4897
153,0.81,4929
154,0.81,4961
155,0.81,4993
156,0.8,5025
157,0.8,5057
158,0.8,5089
159,0.79,5121
160,0.79,5153
161,0.79,5185
162,0.79,5217
163,0.78,5249
164,0.78,5281
165,0.78,5313
166,0.77,5345
167,0.77,5377
168,0.77,5409
169,0.77,5441
170,0.77,5473
171,0.77,5505
172,0.76,5537
173,0.76,5569
174,0.76,5601
175,0.76,5633
176,0.75,5665
177,0.76,5697
178,0.75,5729
179,0.75,5761
180,0.75,5793
181,0.75,5825
182,0.74,5857
183,0.74,5889
184,0.74,5921
185,0.74,5953
186,0.73,5985
187,0.73,6017
188,0.73,6049
189,0.73,6081
190,0.72,6113
191,0.72,6145
192,0.72,6177
193,0.71,6209
194,0.72,6241
195,0.71,6273
196,0.71,6305
197,0.71,6337
198,0.71,6369
199,0.71,6401
200,0.7,6433
201,0.7,6465
202,0.7,6497
203,0.7,6529
204,0.7,6561
205,0.69,6593
206,0.69,6625
207,0.69,6657
208,0.68,6689
209,0.68,6721
210,0.68,6753
211,0.68,6785
212,0.68,6817
213,0.67,6849
214,0.68,6881
215,0.67,6913
216,0.67,6945
217,0.67,6977
218,0.66,7009
219,0.66,7041
220,0.66,7073
221,0.66,7105
222,0.66,7137
223,0.65,7169
224,0.65,7201
225,0.65,7233
226,0.65,7265
227,0.64,7297
228,0.64,7329
229,0.64,7361
230,0.63,7393
231,0.63,7425
232,0.63,7457
233,0.64,7489
234,0.63,7521
235,0.62,7553
236,0.62,7585
237,0.61,7617
238,0.61,7649
239,0.6,7681
240,0.6,7713
241,0.6,7745
242,0.6,7777
243,0.59,7809
244,0.59,7841
245,0.59,7873
246,0.59,7905
247,0.59,7937
248,0.59,7969
249,0.58,8001
250,0.57,8033
251,0.57,8065
252,0.57,8097
253,0.57,8129
254,0.57,8161
255,0.57,8193
256,0.57,8225
257,0.57,8257
258,0.56,8289
259,0.56,8321
260,0.56,8353
261,0.56,8385
262,0.56,8417
263,0.56,8449
264,0.56,8481
265,0.56,8513
266,0.56,8545
267,0.55,8577
268,0.55,8609
