,best_fitness_19521284,num of evaluation calls
0,20.74,129
1,20.72,257
2,20.47,385
3,20.57,513
4,20.7,641
5,20.35,769
6,20.56,897
7,20.76,1025
8,20.25,1153
9,20.25,1281
10,20.25,1409
11,20.16,1537
12,20.13,1665
13,20.26,1793
14,20.01,1921
15,19.97,2049
16,20.04,2177
17,19.95,2305
18,19.98,2433
19,19.94,2561
20,19.94,2689
21,19.95,2817
22,19.92,2945
23,19.92,3073
24,19.92,3201
25,19.93,3329
26,19.91,3457
27,19.91,3585
28,19.91,3713
29,19.91,3841
30,19.91,3969
31,19.91,4097
32,19.91,4225
33,19.91,4353
34,19.91,4481
35,19.91,4609
36,19.9,4737
37,19.9,4865
38,19.9,4993
39,19.9,5121
40,19.9,5249
41,19.9,5377
42,19.9,5505
43,19.9,5633
44,19.9,5761
45,19.9,5889
46,19.9,6017
47,19.9,6145
48,19.9,6273
49,19.9,6401
50,19.9,6529
51,19.9,6657
52,19.9,6785
53,19.9,6913
54,19.9,7041
55,19.9,7169
56,19.9,7297
57,19.9,7425
58,19.9,7553
59,19.9,7681
60,19.9,7809
61,19.9,7937
62,19.9,8065
63,19.9,8193
64,19.9,8321
65,19.9,8449
66,19.9,8577
67,19.9,8705
68,19.9,8833
69,19.9,8961
70,19.9,9089
71,19.9,9217
72,19.9,9345
73,19.9,9473
74,19.9,9601
75,19.9,9729
76,19.9,9857
77,19.9,9985
78,19.9,10113
79,19.9,10241
80,19.9,10369
81,19.9,10497
82,19.9,10625
