,best_fitness_19521288,num of evaluation calls
0,139.88,129
1,134.22,257
2,114.64,385
3,85.66,513
4,70.02,641
5,78.16,769
6,69.17,897
7,62.57,1025
8,67.71,1153
9,72.93,1281
10,60.86,1409
11,64.48,1537
12,57.81,1665
13,51.19,1793
14,54.21,1921
15,33.63,2049
16,46.06,2177
17,25.07,2305
18,24.95,2433
19,27.58,2561
20,24.53,2689
21,25.31,2817
22,21.53,2945
23,20.14,3073
24,19.69,3201
25,21.3,3329
26,19.45,3457
27,20.1,3585
28,18.44,3713
29,18.19,3841
30,18.72,3969
31,18.23,4097
32,18.03,4225
33,18.08,4353
34,17.97,4481
35,17.97,4609
36,17.98,4737
37,17.94,4865
38,17.94,4993
39,17.95,5121
40,17.93,5249
41,17.93,5377
42,17.93,5505
43,17.94,5633
44,17.92,5761
45,17.92,5889
46,17.91,6017
47,17.92,6145
48,17.91,6273
49,17.91,6401
50,17.91,6529
51,17.91,6657
52,17.91,6785
53,17.91,6913
54,17.91,7041
55,17.91,7169
56,17.91,7297
57,17.91,7425
58,17.91,7553
59,17.91,7681
60,17.91,7809
61,17.91,7937
62,17.91,8065
63,17.91,8193
64,17.91,8321
65,17.91,8449
66,17.91,8577
67,17.91,8705
68,17.91,8833
69,17.91,8961
70,17.91,9089
71,17.91,9217
72,17.91,9345
73,17.91,9473
74,17.91,9601
75,17.91,9729
76,17.91,9857
77,17.91,9985
78,17.91,10113
79,17.91,10241
80,17.91,10369
81,17.91,10497
82,17.91,10625
83,17.91,10753
84,17.91,10881
85,17.91,11009
86,17.91,11137
87,17.91,11265
88,17.91,11393
89,17.91,11521
90,17.91,11649
91,17.91,11777
92,17.91,11905
93,17.91,12033
94,17.91,12161
95,17.91,12289
96,17.91,12417
97,17.91,12545
98,17.91,12673
99,17.91,12801
100,17.91,12929
101,17.91,13057
102,17.91,13185
103,17.91,13313
104,17.91,13441
105,17.91,13569
106,17.91,13697
107,17.91,13825
