,best_fitness_19521286,num of evaluation calls
0,99.48,513
1,94.13,1025
2,80.57,1537
3,86.27,2049
4,69.27,2561
5,77.28,3073
6,70.5,3585
7,66.06,4097
8,69.03,4609
9,53.26,5121
10,59.94,5633
11,44.69,6145
12,46.55,6657
13,41.72,7169
14,43.04,7681
15,40.07,8193
16,40.46,8705
17,39.67,9217
18,39.5,9729
19,39.66,10241
20,39.13,10753
21,39.12,11265
22,39.3,11777
23,39.05,12289
24,39.03,12801
25,39.05,13313
26,38.89,13825
27,38.93,14337
28,38.86,14849
29,38.85,15361
30,38.85,15873
31,38.87,16385
32,38.82,16897
33,38.83,17409
34,38.81,17921
35,38.82,18433
36,38.81,18945
37,38.81,19457
38,38.81,19969
39,38.81,20481
40,38.81,20993
41,38.81,21505
42,38.8,22017
43,38.8,22529
44,38.8,23041
45,38.8,23553
46,38.8,24065
47,38.8,24577
48,38.8,25089
49,38.8,25601
50,38.8,26113
51,38.8,26625
52,38.8,27137
53,38.8,27649
54,38.8,28161
55,38.8,28673
56,38.8,29185
57,38.8,29697
58,38.8,30209
59,38.8,30721
60,38.8,31233
61,38.8,31745
62,38.8,32257
63,38.8,32769
64,38.8,33281
65,38.8,33793
66,38.8,34305
67,38.8,34817
68,38.8,35329
69,38.8,35841
70,38.8,36353
71,38.8,36865
72,38.8,37377
73,38.8,37889
74,38.8,38401
75,38.8,38913
76,38.8,39425
77,38.8,39937
78,38.8,40449
79,38.8,40961
80,38.8,41473
81,38.8,41985
82,38.8,42497
83,38.8,43009
84,38.8,43521
85,38.8,44033
86,38.8,44545
87,38.8,45057
88,38.8,45569
89,38.8,46081
90,38.8,46593
91,38.8,47105
92,38.8,47617
93,38.8,48129
94,38.8,48641
