,best_fitness_19521282,num of evaluation calls
0,20.58,33
1,20.32,65
2,20.74,97
3,20.64,129
4,20.27,161
5,20.45,193
6,20.39,225
7,20.21,257
8,20.06,289
9,19.85,321
10,20.15,353
11,19.84,385
12,19.82,417
13,19.88,449
14,19.76,481
15,19.66,513
16,19.8,545
17,19.56,577
18,19.57,609
19,19.53,641
20,19.51,673
21,19.48,705
22,19.49,737
23,19.46,769
24,19.44,801
25,19.44,833
26,19.46,865
27,19.42,897
28,19.42,929
29,19.4,961
30,19.38,993
31,19.39,1025
32,19.38,1057
33,19.38,1089
34,19.38,1121
35,19.38,1153
36,19.38,1185
37,19.38,1217
38,19.38,1249
39,19.38,1281
40,19.38,1313
41,19.38,1345
42,19.38,1377
43,19.38,1409
44,19.38,1441
45,19.38,1473
46,19.38,1505
47,19.38,1537
48,19.38,1569
49,19.38,1601
50,19.38,1633
51,19.38,1665
52,19.38,1697
53,19.38,1729
54,19.38,1761
55,19.38,1793
56,19.38,1825
57,19.38,1857
58,19.38,1889
59,19.38,1921
60,19.38,1953
61,19.38,1985
62,19.38,2017
63,19.38,2049
64,19.38,2081
65,19.38,2113
66,19.38,2145
67,19.38,2177
68,19.38,2209
69,19.38,2241
70,19.38,2273
71,19.38,2305
72,19.38,2337
73,19.38,2369
74,19.38,2401
75,19.38,2433
76,19.38,2465
77,19.38,2497
78,19.38,2529
79,19.38,2561
80,19.38,2593
81,19.38,2625
82,19.38,2657
83,19.38,2689
84,19.38,2721
85,19.38,2753
86,19.38,2785
87,19.38,2817
88,19.38,2849
