,best_fitness_19521287,num of evaluation calls
0,388.92,129
1,387.02,257
2,385.37,385
3,383.88,513
4,381.83,641
5,379.5,769
6,376.35,897
7,373.44,1025
8,369.46,1153
9,365.5,1281
10,361.26,1409
11,356.62,1537
12,350.42,1665
13,345.59,1793
14,340.2,1921
15,333.9,2049
16,328.2,2177
17,322.12,2305
18,315.02,2433
19,307.13,2561
20,295.22,2689
21,286.15,2817
22,277.0,2945
23,264.5,3073
24,254.92,3201
25,241.78,3329
26,226.2,3457
27,211.32,3585
28,197.95,3713
29,177.73,3841
30,161.51,3969
31,147.33,4097
32,130.65,4225
33,112.72,4353
34,98.7,4481
35,78.4,4609
36,65.6,4737
37,47.95,4865
38,34.74,4993
39,23.02,5121
40,13.35,5249
41,9.83,5377
42,7.67,5505
43,4.49,5633
44,3.16,5761
45,4.03,5889
46,2.64,6017
47,2.93,6145
48,1.97,6273
49,1.71,6401
50,1.62,6529
51,2.08,6657
52,1.37,6785
53,1.34,6913
54,1.57,7041
55,1.3,7169
56,1.43,7297
57,1.13,7425
58,1.08,7553
59,1.04,7681
60,1.18,7809
61,1.11,7937
62,1.09,8065
63,0.77,8193
64,1.06,8321
65,1.04,8449
66,0.8,8577
67,0.57,8705
68,0.43,8833
69,0.46,8961
70,0.36,9089
71,0.28,9217
72,0.34,9345
73,0.25,9473
74,0.28,9601
75,0.22,9729
76,0.22,9857
77,0.21,9985
78,0.2,10113
79,0.22,10241
80,0.2,10369
81,0.2,10497
82,0.2,10625
83,0.2,10753
84,0.19,10881
85,0.2,11009
86,0.19,11137
87,0.19,11265
88,0.19,11393
89,0.19,11521
90,0.19,11649
91,0.19,11777
92,0.19,11905
93,0.19,12033
94,0.19,12161
95,0.19,12289
96,0.19,12417
97,0.19,12545
98,0.19,12673
99,0.19,12801
100,0.19,12929
101,0.19,13057
102,0.19,13185
103,0.19,13313
104,0.19,13441
105,0.19,13569
106,0.19,13697
107,0.19,13825
108,0.19,13953
109,0.19,14081
110,0.19,14209
111,0.19,14337
112,0.19,14465
113,0.19,14593
114,0.19,14721
115,0.19,14849
116,0.19,14977
117,0.19,15105
118,0.19,15233
119,0.19,15361
120,0.19,15489
121,0.19,15617
122,0.19,15745
123,0.19,15873
124,0.19,16001
125,0.19,16129
126,0.19,16257
127,0.19,16385
128,0.19,16513
129,0.19,16641
130,0.19,16769
131,0.19,16897
132,0.19,17025
133,0.19,17153
134,0.19,17281
135,0.19,17409
136,0.19,17537
137,0.19,17665
138,0.19,17793
139,0.19,17921
