,best_fitness_19521290,num of evaluation calls
0,22.32,1025
1,22.25,2049
2,22.25,3073
3,22.25,4097
4,22.25,5121
5,22.25,6145
6,22.25,7169
7,22.25,8193
8,22.25,9217
9,22.25,10241
10,22.25,11265
11,22.25,12289
12,22.25,13313
13,22.25,14337
14,22.25,15361
15,22.25,16385
16,22.25,17409
17,22.25,18433
18,22.25,19457
19,22.25,20481
20,22.25,21505
21,22.25,22529
22,22.25,23553
23,22.25,24577
24,22.25,25601
25,22.25,26625
26,22.25,27649
27,22.25,28673
28,22.25,29697
29,22.25,30721
30,22.25,31745
31,22.25,32769
32,22.25,33793
33,22.25,34817
